Sector_ID,Tree_Density_Pct,Fuel_Moisture_Content_Pct,Slope_Steepness_Deg,Temperature_C,Humidity_Pct,Wind_Speed_MPH,Active_Hotspot,Fire_Occurred
SEC-019,0.92,0.05,4,37.1,13.7,12.7,0,1
SEC-002,0.45,0.18,3,38.5,26.6,6.3,0,0
SEC-050,0.81,0.06,25,44.8,37.7,24.8,0,0
SEC-007,0.9,0.06,28,18.7,7.5,10.8,1,1
SEC-050,0.81,0.06,25,23.7,49.5,19.6,0,0
SEC-007,0.9,0.06,28,30.5,7.4,8.9,0,0
SEC-003,0.7,0.11,35,39.8,54.1,3.1,0,0
SEC-007,0.9,0.06,28,14.2,51.9,36.6,0,0
SEC-009,0.8,0.07,31,36.8,79.8,6.4,0,0
SEC-007,0.9,0.06,28,31.6,12.8,50.5,0,1
SEC-043,0.89,0.05,30,33.5,40.3,14.1,0,0
SEC-007,0.9,0.06,28,35.7,41.9,53.0,0,1
SEC-023,0.1,0.04,45,23.0,46.7,5.4,0,0
SEC-009,0.8,0.07,31,11.0,13.8,40.9,0,1
SEC-001,0.85,0.08,22,18.8,24.8,2.4,0,0
SEC-050,0.81,0.06,25,13.3,44.3,43.3,0,1
SEC-019,0.92,0.05,4,15.5,14.9,52.8,0,1
SEC-043,0.89,0.05,30,12.6,51.6,11.6,0,0
SEC-043,0.89,0.05,30,35.5,79.1,34.7,0,0
SEC-002,0.45,0.18,3,20.1,26.1,49.4,0,0
SEC-003,0.7,0.11,35,34.1,77.7,48.5,0,0
SEC-009,0.8,0.07,31,36.6,13.6,48.7,0,1
SEC-009,0.8,0.07,31,20.1,21.6,52.0,1,0
SEC-007,0.9,0.06,28,10.6,66.9,59.3,0,0
SEC-038,0.87,0.06,12,33.8,21.1,37.4,0,0
SEC-050,0.81,0.06,25,32.2,11.6,1.0,0,0
SEC-009,0.8,0.07,31,30.3,64.4,26.9,0,0
SEC-050,0.81,0.06,25,27.7,78.1,14.7,0,0
SEC-050,0.81,0.06,25,29.2,64.8,34.8,0,0
SEC-007,0.9,0.06,28,26.4,35.0,13.6,0,0
SEC-003,0.7,0.11,35,30.3,76.7,0.7,0,0
SEC-007,0.9,0.06,28,40.2,67.4,22.4,0,0
SEC-003,0.7,0.11,35,16.0,8.0,1.1,0,0
SEC-001,0.85,0.08,22,23.1,78.2,0.2,0,0
SEC-043,0.89,0.05,30,23.3,21.2,42.1,0,1
SEC-009,0.8,0.07,31,42.5,30.0,31.4,0,0
SEC-001,0.85,0.08,22,38.9,53.4,4.4,0,0
SEC-003,0.7,0.11,35,35.9,29.5,43.2,0,1
SEC-001,0.85,0.08,22,18.6,19.8,54.4,0,1
SEC-007,0.9,0.06,28,12.5,46.5,41.5,0,1
SEC-038,0.87,0.06,12,31.8,25.9,19.7,0,0
SEC-019,0.92,0.05,4,26.8,55.4,9.1,0,0
SEC-001,0.85,0.08,22,32.0,58.1,24.7,0,0
SEC-043,0.89,0.05,30,19.8,34.4,38.6,0,0
SEC-007,0.9,0.06,28,10.7,68.0,10.6,0,0
SEC-043,0.89,0.05,30,11.5,47.8,22.5,1,1
SEC-007,0.9,0.06,28,40.0,10.3,37.4,0,1
SEC-038,0.87,0.06,12,24.7,34.6,59.3,0,0
SEC-007,0.9,0.06,28,16.0,33.9,29.3,0,0
SEC-007,0.9,0.06,28,10.2,48.2,14.7,0,0
SEC-002,0.45,0.18,3,37.4,62.1,16.2,0,0
SEC-050,0.81,0.06,25,38.1,17.0,45.4,0,1
SEC-002,0.45,0.18,3,11.0,33.2,50.5,0,1
SEC-050,0.81,0.06,25,12.3,6.6,48.4,0,1
SEC-023,0.1,0.04,45,37.7,44.7,40.8,1,1
SEC-002,0.45,0.18,3,43.2,8.2,47.2,0,1
SEC-001,0.85,0.08,22,43.5,73.5,34.1,1,1
SEC-038,0.87,0.06,12,25.5,50.4,17.1,0,0
SEC-050,0.81,0.06,25,33.8,34.3,53.9,1,1
SEC-002,0.45,0.18,3,14.4,59.7,51.5,0,1
SEC-003,0.7,0.11,35,17.7,75.8,44.1,0,1
SEC-009,0.8,0.07,31,27.6,5.7,50.1,0,1
SEC-043,0.89,0.05,30,39.7,25.6,14.5,0,0
SEC-003,0.7,0.11,35,41.4,61.1,11.9,0,0
SEC-038,0.87,0.06,12,43.3,5.4,50.5,0,1
SEC-038,0.87,0.06,12,37.6,33.3,17.3,0,0
SEC-001,0.85,0.08,22,24.1,44.4,18.4,0,0
SEC-007,0.9,0.06,28,18.2,63.9,35.2,0,0
SEC-003,0.7,0.11,35,31.3,63.1,12.3,0,0
SEC-023,0.1,0.04,45,32.1,17.1,42.6,0,1
SEC-050,0.81,0.06,25,35.7,29.7,0.0,0,0
SEC-002,0.45,0.18,3,15.4,8.0,52.1,0,1
SEC-003,0.7,0.11,35,30.9,74.6,44.2,1,1
SEC-038,0.87,0.06,12,31.4,68.2,45.7,0,1
SEC-001,0.85,0.08,22,10.8,12.5,19.5,0,0
SEC-019,0.92,0.05,4,35.6,42.5,29.0,0,0
SEC-038,0.87,0.06,12,30.4,38.8,38.5,0,0
SEC-038,0.87,0.06,12,22.3,28.6,30.6,0,0
SEC-009,0.8,0.07,31,17.2,9.8,26.8,1,1
SEC-043,0.89,0.05,30,22.1,19.9,29.7,0,0
SEC-007,0.9,0.06,28,26.8,13.7,50.0,0,0
SEC-019,0.92,0.05,4,29.9,35.3,11.8,0,0
SEC-043,0.89,0.05,30,19.5,9.3,57.3,0,1
SEC-023,0.1,0.04,45,32.3,78.6,39.3,0,0
SEC-043,0.89,0.05,30,38.2,33.7,1.7,0,0
SEC-023,0.1,0.04,45,29.8,54.3,36.2,0,0
SEC-038,0.87,0.06,12,27.2,30.6,19.4,1,0
SEC-038,0.87,0.06,12,31.7,11.5,37.0,0,0
SEC-002,0.45,0.18,3,14.4,74.8,58.6,0,1
SEC-043,0.89,0.05,30,23.8,32.9,24.2,0,0
SEC-038,0.87,0.06,12,23.9,36.4,39.8,0,0
SEC-023,0.1,0.04,45,25.1,62.3,25.0,0,0
SEC-050,0.81,0.06,25,11.9,13.8,24.6,0,0
SEC-007,0.9,0.06,28,43.7,38.6,23.4,0,0
SEC-002,0.45,0.18,3,39.3,39.5,43.6,0,1
SEC-001,0.85,0.08,22,39.2,33.6,16.4,0,0
SEC-009,0.8,0.07,31,14.5,55.4,41.3,0,1
SEC-001,0.85,0.08,22,15.2,33.7,33.4,0,0
SEC-002,0.45,0.18,3,28.2,70.8,12.3,0,0
SEC-019,0.92,0.05,4,41.3,23.3,16.9,0,0
SEC-038,0.87,0.06,12,13.2,63.7,52.1,0,1
SEC-043,0.89,0.05,30,44.8,27.5,10.8,0,0
SEC-003,0.7,0.11,35,42.6,73.6,35.7,0,0
SEC-043,0.89,0.05,30,15.2,75.4,37.2,0,0
SEC-009,0.8,0.07,31,31.1,9.7,8.9,0,1
SEC-043,0.89,0.05,30,43.2,34.5,22.2,0,0
SEC-009,0.8,0.07,31,38.9,54.1,14.9,0,0
SEC-019,0.92,0.05,4,19.6,45.7,56.9,0,1
SEC-001,0.85,0.08,22,10.8,32.3,22.0,0,0
SEC-023,0.1,0.04,45,28.4,49.1,49.5,0,1
SEC-043,0.89,0.05,30,31.1,67.3,19.4,0,0
SEC-001,0.85,0.08,22,15.5,54.1,12.7,0,0
SEC-038,0.87,0.06,12,31.9,69.4,51.0,0,0
SEC-043,0.89,0.05,30,21.7,6.1,31.2,0,0
SEC-007,0.9,0.06,28,10.2,9.4,1.6,0,0
SEC-002,0.45,0.18,3,35.8,16.0,48.3,0,1
SEC-023,0.1,0.04,45,13.8,21.7,15.3,0,0
SEC-002,0.45,0.18,3,16.3,29.6,2.4,0,0
SEC-038,0.87,0.06,12,31.0,60.0,41.4,0,1
SEC-019,0.92,0.05,4,13.9,17.8,8.7,0,0
SEC-007,0.9,0.06,28,38.9,29.2,52.7,0,1
SEC-002,0.45,0.18,3,26.0,40.2,58.0,0,1
SEC-002,0.45,0.18,3,20.1,17.8,32.7,0,0
SEC-007,0.9,0.06,28,36.4,55.6,42.9,0,1
SEC-009,0.8,0.07,31,29.1,32.6,37.9,0,0
SEC-023,0.1,0.04,45,12.3,57.7,44.9,0,0
SEC-043,0.89,0.05,30,14.6,20.8,22.8,1,1
SEC-038,0.87,0.06,12,39.3,40.7,18.5,0,0
SEC-043,0.89,0.05,30,31.5,13.5,49.4,0,1
SEC-050,0.81,0.06,25,33.8,31.5,16.1,0,0
SEC-019,0.92,0.05,4,20.2,29.8,23.2,0,0
SEC-019,0.92,0.05,4,37.7,54.1,32.8,0,0
SEC-038,0.87,0.06,12,19.0,11.2,48.0,0,1
SEC-043,0.89,0.05,30,18.8,42.3,56.2,0,1
SEC-001,0.85,0.08,22,26.8,18.6,49.1,0,1
SEC-043,0.89,0.05,30,31.5,52.2,14.9,0,0
SEC-002,0.45,0.18,3,23.7,77.6,18.8,0,0
SEC-019,0.92,0.05,4,35.9,15.4,45.0,0,1
SEC-009,0.8,0.07,31,44.6,73.5,31.3,0,0
SEC-009,0.8,0.07,31,18.5,69.6,5.6,0,0
SEC-007,0.9,0.06,28,27.2,13.7,23.8,0,0
SEC-007,0.9,0.06,28,10.1,18.0,23.8,0,0
SEC-009,0.8,0.07,31,17.9,9.0,38.5,0,0
SEC-001,0.85,0.08,22,35.6,56.4,39.0,0,0
SEC-050,0.81,0.06,25,35.4,67.5,0.1,0,0
SEC-023,0.1,0.04,45,14.9,43.6,3.0,0,0
SEC-038,0.87,0.06,12,29.4,57.7,27.7,0,0
SEC-007,0.9,0.06,28,39.7,26.8,48.3,0,1
SEC-007,0.9,0.06,28,28.0,23.5,58.5,0,1
SEC-007,0.9,0.06,28,23.2,58.1,16.2,0,0
SEC-019,0.92,0.05,4,31.0,70.4,31.8,0,0
SEC-038,0.87,0.06,12,13.4,10.4,4.5,0,0
SEC-009,0.8,0.07,31,18.0,62.0,20.9,0,0
SEC-007,0.9,0.06,28,33.5,59.9,45.9,0,1
SEC-019,0.92,0.05,4,10.0,77.4,30.9,0,0
SEC-038,0.87,0.06,12,15.1,15.8,21.3,0,0
SEC-003,0.7,0.11,35,12.3,32.1,18.3,0,0
SEC-001,0.85,0.08,22,19.0,14.4,58.1,0,1
SEC-009,0.8,0.07,31,23.4,26.9,22.9,0,0
SEC-043,0.89,0.05,30,26.0,62.4,4.7,0,0
SEC-007,0.9,0.06,28,42.9,42.4,20.9,0,0
SEC-050,0.81,0.06,25,22.8,79.1,57.1,0,0
SEC-001,0.85,0.08,22,26.3,49.4,58.5,0,1
SEC-019,0.92,0.05,4,33.6,75.3,4.1,1,1
SEC-009,0.8,0.07,31,36.0,69.2,2.1,0,0
SEC-003,0.7,0.11,35,22.3,53.8,38.2,0,0
SEC-007,0.9,0.06,28,40.9,11.0,46.8,0,1
SEC-009,0.8,0.07,31,37.3,18.9,36.8,0,0
SEC-002,0.45,0.18,3,42.2,69.7,60.0,0,1
SEC-019,0.92,0.05,4,32.9,40.2,9.3,0,0
SEC-038,0.87,0.06,12,12.2,31.9,26.1,0,0
SEC-001,0.85,0.08,22,17.2,42.1,31.2,0,0
SEC-038,0.87,0.06,12,31.1,57.3,9.3,0,0
SEC-001,0.85,0.08,22,18.2,17.3,56.8,0,0
SEC-038,0.87,0.06,12,26.7,53.4,20.2,0,0
SEC-023,0.1,0.04,45,13.7,24.9,33.4,0,0
SEC-007,0.9,0.06,28,12.3,37.7,45.2,0,1
SEC-050,0.81,0.06,25,42.4,37.5,28.7,0,0
SEC-001,0.85,0.08,22,10.2,15.7,6.5,0,0
SEC-001,0.85,0.08,22,18.9,18.9,10.8,0,0
SEC-038,0.87,0.06,12,10.7,58.3,15.9,0,0
SEC-007,0.9,0.06,28,21.7,47.0,36.3,0,0
SEC-002,0.45,0.18,3,23.9,65.1,31.2,0,0
SEC-019,0.92,0.05,4,24.0,19.6,55.6,0,1
SEC-038,0.87,0.06,12,14.4,79.0,37.9,0,0
SEC-023,0.1,0.04,45,33.6,63.9,2.8,0,0
SEC-023,0.1,0.04,45,10.8,7.1,3.1,0,0
SEC-043,0.89,0.05,30,44.1,49.3,22.1,0,0
SEC-001,0.85,0.08,22,40.9,56.8,36.1,0,0
SEC-038,0.87,0.06,12,41.7,58.8,31.3,0,0
SEC-050,0.81,0.06,25,41.1,34.7,51.2,0,0
SEC-019,0.92,0.05,4,35.7,71.8,9.2,0,0
SEC-043,0.89,0.05,30,23.3,61.9,51.6,0,1
SEC-003,0.7,0.11,35,23.4,68.4,11.8,0,0
SEC-003,0.7,0.11,35,10.9,23.2,4.3,1,1
SEC-001,0.85,0.08,22,12.7,29.4,14.8,1,1
SEC-001,0.85,0.08,22,32.2,45.0,45.6,0,1
SEC-050,0.81,0.06,25,18.8,45.7,23.7,0,0
SEC-009,0.8,0.07,31,29.6,54.2,35.6,0,0
SEC-019,0.92,0.05,4,39.3,9.1,33.3,0,1
SEC-001,0.85,0.08,22,36.2,76.2,41.7,0,1
SEC-050,0.81,0.06,25,14.9,67.9,2.0,0,0
SEC-019,0.92,0.05,4,16.3,69.9,14.9,0,0
SEC-043,0.89,0.05,30,23.6,34.9,12.7,0,0
SEC-009,0.8,0.07,31,12.3,56.7,36.1,0,0
SEC-019,0.92,0.05,4,31.0,78.4,14.3,0,0
SEC-002,0.45,0.18,3,22.1,19.7,33.2,0,0
SEC-043,0.89,0.05,30,34.2,36.4,21.2,0,0
SEC-043,0.89,0.05,30,27.1,75.7,46.2,0,0
SEC-002,0.45,0.18,3,42.7,41.3,51.3,0,1
SEC-007,0.9,0.06,28,18.4,31.9,7.0,0,0
SEC-023,0.1,0.04,45,40.1,32.8,31.1,0,0
SEC-019,0.92,0.05,4,15.1,57.1,17.8,0,0
SEC-002,0.45,0.18,3,20.2,6.3,40.3,0,1
SEC-038,0.87,0.06,12,18.8,27.4,51.5,0,1
SEC-050,0.81,0.06,25,26.8,12.3,26.0,0,0
SEC-002,0.45,0.18,3,33.8,24.3,49.0,0,1
SEC-043,0.89,0.05,30,11.9,25.9,21.3,0,0
SEC-007,0.9,0.06,28,24.0,70.4,16.7,0,0
SEC-009,0.8,0.07,31,23.3,24.2,50.4,0,1
SEC-019,0.92,0.05,4,11.3,55.3,49.6,0,1
SEC-007,0.9,0.06,28,36.0,77.9,31.4,0,0
SEC-038,0.87,0.06,12,16.2,61.2,8.8,0,0
SEC-009,0.8,0.07,31,21.4,34.5,47.3,0,1
SEC-007,0.9,0.06,28,21.5,22.6,35.4,0,0
SEC-043,0.89,0.05,30,39.5,30.6,38.3,0,0
SEC-002,0.45,0.18,3,11.3,49.9,40.5,0,1
SEC-003,0.7,0.11,35,25.9,66.5,15.3,0,0
SEC-009,0.8,0.07,31,19.2,67.0,5.3,0,0
SEC-023,0.1,0.04,45,24.5,79.5,44.8,0,1
SEC-023,0.1,0.04,45,32.2,70.2,3.8,0,0
SEC-009,0.8,0.07,31,34.3,19.2,58.7,0,1
SEC-043,0.89,0.05,30,16.5,19.1,27.0,0,0
SEC-050,0.81,0.06,25,34.4,76.0,32.8,0,0
SEC-038,0.87,0.06,12,21.9,20.7,41.6,0,0
SEC-019,0.92,0.05,4,12.4,23.9,37.3,0,0
SEC-007,0.9,0.06,28,23.4,6.5,32.2,0,0
SEC-019,0.92,0.05,4,15.4,46.6,19.8,0,0
SEC-019,0.92,0.05,4,20.5,41.1,35.5,0,0
SEC-043,0.89,0.05,30,40.5,48.3,39.7,0,0
SEC-002,0.45,0.18,3,36.7,34.4,59.2,0,1
SEC-038,0.87,0.06,12,22.1,56.8,44.5,0,1
SEC-003,0.7,0.11,35,34.4,45.3,51.9,0,1
SEC-001,0.85,0.08,22,39.5,45.2,25.9,0,0
SEC-003,0.7,0.11,35,26.5,57.6,44.0,0,0
SEC-002,0.45,0.18,3,25.7,32.9,6.5,0,0
SEC-003,0.7,0.11,35,26.2,22.6,6.6,0,0
SEC-038,0.87,0.06,12,10.5,27.8,8.4,0,0
SEC-038,0.87,0.06,12,16.8,26.4,24.9,0,0
SEC-043,0.89,0.05,30,20.0,62.3,59.6,0,1
SEC-003,0.7,0.11,35,10.0,31.3,47.8,0,1
SEC-023,0.1,0.04,45,18.3,42.5,14.9,0,0
SEC-023,0.1,0.04,45,26.2,70.0,27.2,0,0
SEC-043,0.89,0.05,30,21.3,63.4,40.6,0,1
SEC-009,0.8,0.07,31,26.4,17.4,57.8,0,1
SEC-002,0.45,0.18,3,35.3,58.9,30.6,0,0
SEC-019,0.92,0.05,4,39.0,29.4,32.1,0,0
SEC-038,0.87,0.06,12,42.4,8.9,13.0,0,1
SEC-002,0.45,0.18,3,33.8,36.3,27.0,0,0
SEC-038,0.87,0.06,12,37.2,61.6,42.2,0,1
SEC-003,0.7,0.11,35,18.1,17.4,40.5,0,1
SEC-050,0.81,0.06,25,19.7,19.5,53.8,0,1
SEC-023,0.1,0.04,45,40.5,19.2,59.2,0,1
SEC-043,0.89,0.05,30,15.7,42.9,40.3,0,1
SEC-001,0.85,0.08,22,41.2,36.9,0.4,0,0
SEC-009,0.8,0.07,31,31.6,27.9,15.0,0,0
SEC-043,0.89,0.05,30,43.2,71.7,51.2,0,1
SEC-043,0.89,0.05,30,19.2,36.2,15.1,0,0
SEC-001,0.85,0.08,22,42.9,27.5,4.1,0,0
SEC-007,0.9,0.06,28,43.1,28.5,57.1,0,1
SEC-019,0.92,0.05,4,44.6,51.0,45.8,0,1
SEC-019,0.92,0.05,4,22.5,52.8,16.7,0,0
SEC-043,0.89,0.05,30,38.9,11.2,16.9,0,0
SEC-009,0.8,0.07,31,18.1,52.6,27.5,0,0
SEC-003,0.7,0.11,35,36.9,69.7,26.5,0,0
SEC-009,0.8,0.07,31,20.7,26.3,23.5,0,0
SEC-050,0.81,0.06,25,12.5,49.9,9.7,0,0
SEC-007,0.9,0.06,28,10.2,33.5,23.0,0,0
SEC-009,0.8,0.07,31,14.4,73.5,55.8,0,1
SEC-023,0.1,0.04,45,37.3,26.2,32.6,0,0
SEC-001,0.85,0.08,22,32.4,43.4,53.1,0,0
SEC-023,0.1,0.04,45,25.8,16.2,58.8,0,1
SEC-050,0.81,0.06,25,12.1,75.7,0.4,0,0
SEC-038,0.87,0.06,12,39.7,15.5,39.1,0,1
SEC-001,0.85,0.08,22,10.5,27.7,51.1,0,1
SEC-007,0.9,0.06,28,11.4,13.1,53.2,0,0
SEC-003,0.7,0.11,35,36.5,14.6,10.2,0,0
SEC-001,0.85,0.08,22,38.0,35.6,4.3,0,0
SEC-002,0.45,0.18,3,39.5,49.5,58.8,0,1
SEC-007,0.9,0.06,28,41.3,47.1,39.0,0,0
SEC-003,0.7,0.11,35,44.8,40.6,17.2,0,0
SEC-019,0.92,0.05,4,41.1,41.2,25.4,0,0
SEC-050,0.81,0.06,25,43.2,10.5,23.0,0,1
SEC-009,0.8,0.07,31,31.4,21.3,52.3,0,1
SEC-002,0.45,0.18,3,22.4,68.1,55.6,0,1
SEC-019,0.92,0.05,4,11.7,52.6,16.4,0,0
SEC-003,0.7,0.11,35,17.9,26.7,22.1,0,0
SEC-043,0.89,0.05,30,14.6,23.9,22.8,0,0
SEC-043,0.89,0.05,30,44.8,24.9,57.1,0,1
SEC-019,0.92,0.05,4,26.6,11.8,33.3,0,0
SEC-050,0.81,0.06,25,15.4,21.0,39.8,0,0
SEC-007,0.9,0.06,28,18.8,11.3,19.4,0,0
SEC-001,0.85,0.08,22,23.3,13.0,12.4,0,0
SEC-002,0.45,0.18,3,31.4,13.6,28.3,0,0
SEC-019,0.92,0.05,4,36.3,39.9,48.5,0,0
